City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
547,Tarakan,ID,81.5,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
548,Kropotkin,RU,77.5,scattered clouds,45.4375,40.5756,Hotel Europe Kropotkin
550,Kyrylivka,UA,79.09,clear sky,46.3759,35.3675,"Rok-Hotelʹ ""Kleopatra"""
554,Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
555,Novopokrovka,UA,80.98,few clouds,49.8425,36.5477,Пудж дом
557,Baindur,IN,78.78,broken clouds,13.8667,74.6333,Sai Vishram Beach Resort (Veg and Non-alcoholic Resort)
559,Caninde,BR,93.63,clear sky,-4.3589,-39.3117,Hotel Casa Grande II
560,Resistencia,AR,93.09,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
563,Westport,US,78.94,overcast clouds,41.1415,-73.3579,The Westport Inn
566,Braganca,BR,90.41,broken clouds,-1.0536,-46.7656,Marujo's Suíte Hotel
567,Arraial Do Cabo,BR,78.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
569,Magangue,CO,76.77,overcast clouds,9.242,-74.7547,Abu Dhabi hotel´s
570,Luancheng,CN,80.76,clear sky,37.8792,114.6517,Shell Hebei Shijiazhuang Luancheng Xinyuan Road Hotel
576,Belmopan,BZ,85.3,scattered clouds,17.25,-88.7667,Villa San Juan
579,Miandrivazo,MG,77.36,broken clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
581,Tura,IN,76.53,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
583,Srivardhan,IN,80.28,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
586,Sungairaya,ID,79.5,clear sky,0.7,108.9,Mess P.Milu
587,Esmeraldas,BR,75.31,clear sky,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
588,Tumpat,MY,82.38,few clouds,6.1978,102.171,Baan Tanyong B&B
590,Sarno,IT,90.21,broken clouds,40.8108,14.6198,Bed & Brekfast Villa Bema
591,Balykshi,KZ,86.0,clear sky,47.0667,51.8667,Гостиница Golden Rose
592,Shaki,AZ,84.29,broken clouds,41.0833,47.1667,Hotel Sheki Azpetrol
594,Zinder,NE,93.16,scattered clouds,13.8072,8.9881,Hotel de Ville
595,Mayo,US,90.73,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
597,Nizwa,OM,86.76,broken clouds,22.9333,57.5333,Orient Apartments
598,Hondo,JP,81.95,overcast clouds,32.45,130.2,ホテル河丁
599,Balkanabat,TM,86.13,clear sky,39.5108,54.3671,Nebitchi Hotel
601,Itoman,JP,80.62,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
602,Antequera,ES,92.7,clear sky,37.0194,-4.5612,Hotel MM Antequera (anterior Hotel Las Villas)
603,Tafresh,IR,84.29,scattered clouds,34.692,50.013,هتل یاس سفید
604,Kulhudhuffushi,MV,80.8,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
607,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
610,Pravdinsk,RU,80.44,broken clouds,54.4429,21.0179,Загородный дом с баней
611,Santa Isabel Do Rio Negro,BR,90.09,broken clouds,-0.4139,-65.0192,Hotel GSA
613,Shingu,JP,75.9,clear sky,33.7333,135.9833,Shingu UI Hotel
617,Wysokie Mazowieckie,PL,82.36,broken clouds,52.9166,22.5171,POKOJE Z SERCEM
621,Fomboni,KM,76.66,clear sky,-12.28,43.7425,Pension Paradis
624,Kijang,KR,82.13,overcast clouds,35.2442,129.2139,Samyang Beach Villa
629,San Nicolas,PH,80.26,overcast clouds,18.1725,120.5953,NORTHVIEW Hotel
630,Punta Gorda,US,92.28,clear sky,26.9298,-82.0454,Four Points by Sheraton Punta Gorda Harborside
632,Lac Du Bonnet,CA,80.58,clear sky,50.2536,-96.0612,Casey's Inn Motor Hotel
633,Phu Ly,VN,80.98,overcast clouds,20.5411,105.9139,5 Star Apartment Central Phu Ly
634,Bend,US,79.72,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
636,Isangel,VU,75.16,broken clouds,-19.55,169.2667,Tanna Lodge
637,Honiara,SB,77.16,overcast clouds,-9.4333,159.95,Heritage Park Hotel
640,Pemangkat,ID,80.71,clear sky,1.1667,108.9667,Ramah Kost KITA
641,Oceanside,US,80.64,overcast clouds,33.1959,-117.3795,Club Wyndham Oceanside Pier Resort
642,Pilot Butte,CA,78.78,few clouds,50.4668,-104.4178,Sleep Inn Regina East
644,Jalu,LY,92.64,clear sky,29.0331,21.5482,صاحبة الفخامة
647,Dengzhou,CN,76.62,broken clouds,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
648,Rondonopolis,BR,94.82,clear sky,-16.4708,-54.6356,Serras Hotel
649,Sterling,US,90.86,overcast clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
651,Ugoofaaru,MV,81.55,overcast clouds,5.6667,73.0,Ungoofaaru Inn
656,Cullera,ES,85.01,scattered clouds,39.1667,-0.25,Hotel Santamarta
658,Salamiyah,SY,88.75,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
659,Maluanluan,PH,84.06,overcast clouds,13.0967,121.4235,Cliff House
660,Frei Paulo,BR,79.52,scattered clouds,-10.5494,-37.5344,Restaurante e Pousada Nossa Senhora De Fátima
663,Meulaboh,ID,78.66,overcast clouds,4.1363,96.1285,Kost Pria
667,Sunrise Manor,US,92.93,broken clouds,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
672,Basco,PH,82.54,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
673,Mogadishu,SO,76.35,light rain,2.0371,45.3438,Hotel Juba
675,Mandi Bahauddin,PK,95.86,scattered clouds,32.5834,73.4843,MBDIN SCHOOL & HOSTEL
677,Puerto Baquerizo Moreno,EC,76.19,few clouds,-0.9,-89.6,Hotel los Algarrobos
682,Varca,IN,80.6,broken clouds,15.2167,73.9167,"Taj Exotica Resort & Spa, Goa"
684,Kaduqli,SD,77.54,overcast clouds,11.0167,29.7167,فندق الله جابو
685,Fuerte Olimpo,PY,96.84,clear sky,-21.0415,-57.8738,Hospedaje DAMI
686,Tubmanburg,LR,81.36,overcast clouds,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
689,Tshela,CD,79.86,overcast clouds,-4.9833,12.9333,Hotel Mirador
690,Shetpe,KZ,85.91,scattered clouds,44.1667,52.1167,Rtsm Shetpe Analog
