City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Alcudia,ES,39.8532,3.1214,86.38,68,61,8.1,broken clouds
80,Chuy,UY,-33.6971,-53.4616,66.04,81,73,11.3,broken clouds
81,Kapaa,US,22.0752,-159.319,79.12,84,90,3.0,moderate rain
82,Hobart,AU,-42.8794,147.3294,42.66,76,70,16.11,light rain
83,Nabire,ID,-3.3667,135.4833,75.79,87,99,2.82,overcast clouds
84,Pancesti,RO,46.3333,27.0833,81.0,46,24,5.06,few clouds
85,Sola,VU,-13.8833,167.55,79.5,81,48,11.1,scattered clouds
86,Harper,LR,4.375,-7.7169,79.02,68,86,7.85,overcast clouds
87,Husavik,IS,66.0449,-17.3389,57.11,65,100,4.23,overcast clouds
88,Lompoc,US,34.6391,-120.4579,77.13,88,90,0.0,overcast clouds
89,Irtyshskiy,RU,58.3333,68.1333,59.79,56,94,9.66,overcast clouds
90,Makakilo City,US,21.3469,-158.0858,76.57,82,51,16.58,broken clouds
91,Hobyo,SO,5.3505,48.5268,77.34,73,84,25.17,broken clouds
92,Kinwat,IN,19.6333,78.2,78.22,82,52,12.06,light rain
93,Albany,US,42.6001,-73.9662,77.65,79,96,5.77,overcast clouds
94,Eldorado,BR,-23.7869,-54.2836,85.44,29,0,10.38,clear sky
95,Hofn,IS,64.2539,-15.2082,53.62,82,40,13.8,scattered clouds
96,Mar Del Plata,AR,-38.0023,-57.5575,58.08,64,75,8.99,broken clouds
97,Zilair,RU,52.2332,57.4392,57.2,60,65,5.73,broken clouds
98,Lata,PT,40.1629,-8.3327,78.04,74,88,9.13,overcast clouds
99,Deer Lake,CA,49.1667,-57.4316,69.66,64,20,4.61,few clouds
100,Amlame,TG,7.4667,0.9,78.6,77,74,3.33,light rain
101,Barrow,US,71.2906,-156.7887,41.02,93,90,9.22,overcast clouds
102,Adrar,MR,20.5022,-10.0711,111.42,7,32,8.08,scattered clouds
103,Kidal,ML,18.4411,1.4078,91.35,40,66,21.45,broken clouds
104,Aripuana,BR,-9.1667,-60.6333,99.01,23,48,2.3,scattered clouds
105,Arman,RU,59.7,150.1667,53.06,99,100,5.86,light rain
106,Lodja,CD,-3.4833,23.4333,83.37,27,64,2.86,broken clouds
107,Atambua,ID,-9.1061,124.8925,66.81,77,30,4.5,scattered clouds
108,Yellowknife,CA,62.456,-114.3525,61.32,54,20,6.91,few clouds
109,Seoul,KR,37.5683,126.9778,81.79,78,0,3.44,clear sky
110,Virginia Beach,US,36.8529,-75.978,88.09,61,90,11.5,overcast clouds
111,Chifeng,CN,42.2683,118.9636,73.67,84,99,5.19,overcast clouds
112,Dekar,BW,-21.5333,21.9333,55.11,45,0,8.72,clear sky
113,Buala,SB,-8.145,159.5921,79.34,84,71,7.78,light rain
114,Adelaide,AU,-34.9333,138.6,54.57,89,20,1.01,few clouds
115,Taoudenni,ML,22.6783,-3.9836,115.48,5,16,11.5,few clouds
116,Victoria,HK,22.2855,114.1577,86.38,82,6,5.01,clear sky
117,Mareeba,AU,-17.0,145.4333,65.12,77,49,2.39,scattered clouds
118,Mastic Beach,US,40.7668,-72.8521,76.98,90,100,1.99,overcast clouds
119,Lahat,ID,-3.8,103.5333,72.1,86,0,2.89,clear sky
120,Upernavik,GL,72.7868,-56.1549,41.36,82,50,10.25,scattered clouds
121,Bonthe,SL,7.5264,-12.505,79.14,76,89,10.22,light rain
122,Bethel,US,41.3712,-73.414,76.01,86,90,6.91,overcast clouds
123,Pangai,TO,-19.8,-174.35,77.04,80,50,3.27,scattered clouds
124,Cockburn Town,TC,21.4612,-71.1419,82.53,80,6,11.95,clear sky
125,Manzanillo,CU,20.3433,-77.1167,88.59,58,35,6.76,scattered clouds
126,Katsuura,JP,35.1333,140.3,81.1,86,8,11.07,clear sky
127,Iki-Burul,RU,45.8208,44.6472,80.94,27,49,8.5,scattered clouds
128,Biak,ID,-0.9131,122.8766,75.2,82,74,7.45,broken clouds
129,Am Timan,TD,11.0297,20.2827,77.2,76,95,2.73,overcast clouds
130,Hilo,US,19.7297,-155.09,75.79,93,90,6.91,mist
131,Kodiak,US,57.79,-152.4072,51.31,87,90,3.44,overcast clouds
132,Bud,US,39.447,-86.1758,85.51,81,57,3.91,broken clouds
133,Morondava,MG,-20.2833,44.2833,75.27,62,14,14.12,few clouds
134,Stryn,NO,61.9045,6.7226,79.14,57,35,7.29,scattered clouds
135,Jumla,NP,29.2747,82.1838,65.89,98,100,1.68,moderate rain
136,Port Blair,IN,11.6667,92.75,82.33,85,100,17.05,overcast clouds
137,Karratha,AU,-20.7377,116.8463,70.54,46,19,4.47,few clouds
138,Dalvik,IS,65.9702,-18.5286,57.13,67,100,10.45,overcast clouds
139,Shimoda,JP,34.6667,138.95,72.1,87,3,7.87,clear sky
140,Santo Augusto,BR,-27.8508,-53.7772,76.46,44,72,14.18,broken clouds
141,Zarubino,RU,42.63,131.0922,74.14,96,77,4.92,broken clouds
142,Visby,SE,57.6409,18.296,76.05,53,0,10.36,clear sky
143,Ixtapa,MX,20.7,-105.2,88.23,74,66,3.0,broken clouds
144,Boyolangu,ID,-8.1181,111.8935,70.92,91,39,1.74,scattered clouds
145,Kushima,JP,31.4583,131.2333,80.11,92,100,7.45,overcast clouds
146,Saldanha,ZA,-33.0117,17.9442,66.25,56,100,10.98,overcast clouds
147,Avarua,CK,-21.2078,-159.775,73.45,94,90,11.5,light rain
148,Portland,US,45.5234,-122.6762,76.69,65,1,1.01,clear sky
149,Progreso,MX,21.2833,-89.6667,93.11,67,98,7.09,overcast clouds
150,Komsomolskiy,UZ,40.4272,71.7189,90.32,27,0,6.91,clear sky
151,Grindavik,IS,63.8424,-22.4338,53.55,93,75,32.21,light intensity drizzle
152,Puerto Ayacucho,VE,5.6639,-67.6236,84.0,70,100,1.41,overcast clouds
153,Oshkosh,US,44.0247,-88.5426,84.38,69,0,8.3,clear sky
154,Capreol,CA,46.706,-80.9225,78.91,72,1,3.0,clear sky
155,Kavaratti,IN,10.5669,72.642,80.91,78,100,23.6,overcast clouds
156,Khatanga,RU,71.9667,102.5,54.21,74,53,7.49,broken clouds
157,Umm Lajj,SA,25.0213,37.2685,89.19,47,4,7.11,clear sky
158,Richards Bay,ZA,-28.783,32.0377,60.21,73,3,9.26,clear sky
159,Carrefour,HT,18.5411,-72.3992,89.26,57,51,5.23,broken clouds
160,Esperance,AU,-33.8667,121.9,53.44,81,0,18.37,clear sky
161,Bubaque,GW,11.2833,-15.8333,79.03,79,99,5.91,overcast clouds
162,Dasuya,IN,31.8183,75.6597,90.0,61,73,5.68,broken clouds
163,Clyde River,CA,70.4692,-68.5914,35.83,100,90,11.5,light rain
164,Svetlogorsk,BY,52.6333,29.7333,71.76,65,63,2.98,broken clouds
165,Port Elizabeth,ZA,-33.918,25.5701,57.09,58,0,2.3,clear sky
166,Soyo,AO,-6.1349,12.3689,73.99,82,48,7.65,scattered clouds
167,Strezhevoy,RU,60.7333,77.5889,58.98,98,99,1.34,moderate rain
168,Mackenzie,CA,55.2999,-123.1698,53.82,87,40,6.91,scattered clouds
169,Boyuibe,BO,-20.4167,-63.2833,85.91,26,2,7.74,clear sky
170,Inhambane,MZ,-23.865,35.3833,66.18,68,75,7.0,light rain
171,Borogontsy,RU,62.6683,131.1683,56.1,68,1,4.68,clear sky
172,Longyearbyen,SJ,78.2186,15.6401,44.44,87,75,9.22,broken clouds
173,La Ronge,CA,55.1001,-105.2842,62.85,67,75,8.05,broken clouds
174,San Rafael,AR,-34.6177,-68.3301,55.92,30,0,6.6,clear sky
175,Changping,CN,40.2186,116.2197,82.51,77,96,8.99,overcast clouds
176,Wajima,JP,37.4,136.9,78.26,83,3,4.41,clear sky
177,Bahia Honda,CU,22.9036,-83.1592,88.7,57,18,5.21,moderate rain
178,Kankon,IN,15.0167,74.0167,80.4,88,78,14.79,broken clouds
179,Matagami,CA,49.7502,-77.6328,73.51,68,1,10.36,clear sky
180,Sorland,NO,67.667,12.6934,53.67,86,100,4.34,overcast clouds
181,Tecoanapa,MX,16.5167,-98.75,86.34,66,100,7.7,overcast clouds
182,Carutapera,BR,-1.195,-46.02,88.36,50,73,6.93,broken clouds
183,Khani,GE,41.9563,42.9566,69.37,96,58,1.36,broken clouds
184,Buchanan,LR,5.8808,-10.0467,84.16,70,86,9.42,overcast clouds
185,Poum,NC,-20.2333,164.0167,72.09,79,6,14.72,clear sky
186,Cabo San Lucas,MX,22.8909,-109.9124,94.17,65,3,6.49,clear sky
187,Rawson,AR,-43.3002,-65.1023,52.29,32,18,20.65,few clouds
188,Abu Samrah,SY,35.3029,37.1841,91.63,27,0,14.12,clear sky
189,Turukhansk,RU,65.8167,87.9833,64.51,85,27,1.74,scattered clouds
190,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,43,0,13.8,clear sky
191,Plougastel-Daoulas,FR,48.3667,-4.3667,69.94,72,75,11.5,broken clouds
192,Colares,PT,38.7992,-9.4469,75.29,71,75,14.97,broken clouds
193,Saint-Philippe,RE,-21.3585,55.7679,69.39,76,37,11.48,scattered clouds
194,Pokhara,NP,28.2333,83.9833,75.11,91,100,0.92,overcast clouds
195,Cape Town,ZA,-33.9258,18.4232,64.27,43,0,5.75,clear sky
196,Te Anau,NZ,-45.4167,167.7167,46.27,94,100,3.47,heavy intensity rain
197,Novobessergenevka,RU,47.1847,38.8462,86.88,44,0,8.46,clear sky
198,Bandarbeyla,SO,9.4942,50.8122,81.27,60,85,28.21,overcast clouds
199,Sibenik,HR,43.7272,15.9058,91.38,23,79,8.99,broken clouds
200,Pedernales,DO,18.0384,-71.744,84.67,69,24,6.87,few clouds
201,Manaus,BR,-3.1019,-60.025,90.1,62,40,4.61,scattered clouds
202,Mahajanga,MG,-15.7167,46.3167,78.82,50,40,3.44,scattered clouds
203,Slave Lake,CA,55.2834,-114.769,64.38,59,1,9.22,clear sky
204,Sorong,ID,-0.8833,131.25,77.09,83,100,7.29,overcast clouds
205,Saint George,US,37.1041,-113.5841,88.43,49,11,1.01,few clouds
206,Vila,PT,42.0304,-8.1588,68.22,76,46,9.75,scattered clouds
207,Jamestown,US,42.097,-79.2353,82.29,63,40,5.99,scattered clouds
208,Skovorodino,RU,53.9833,123.9167,57.85,98,67,3.27,broken clouds
209,Camana,PE,-16.6228,-72.7111,63.95,75,54,8.28,broken clouds
210,Namibe,AO,-15.1961,12.1522,69.93,61,0,5.44,clear sky
211,Llanes,ES,43.4198,-4.7549,70.27,85,100,5.06,overcast clouds
212,Lasa,IT,46.6166,10.7002,69.03,74,73,4.76,light rain
213,Kahului,US,20.8947,-156.47,78.84,95,28,13.0,scattered clouds
214,Edd,ER,13.9297,41.6925,88.66,58,100,5.06,overcast clouds
215,Okha,RU,53.5739,142.9478,66.81,86,95,8.28,overcast clouds
216,Neryungri,RU,56.6709,124.6491,53.49,92,96,6.93,overcast clouds
217,Tingi,TZ,-11.3,35.0333,54.48,84,44,4.09,scattered clouds
218,Banes,CU,20.9625,-75.7186,89.78,54,81,8.95,broken clouds
219,Cherskiy,RU,68.75,161.3,40.08,78,16,7.72,few clouds
220,San Patricio,US,28.017,-97.5169,91.87,47,5,9.22,clear sky
221,Nanortalik,GL,60.1432,-45.2371,45.27,74,100,13.38,overcast clouds
222,Muyezerskiy,RU,63.9333,31.65,64.18,58,91,3.13,overcast clouds
223,Naze,JP,28.3667,129.4833,77.86,88,100,18.39,moderate rain
224,Laguna,US,38.421,-121.4238,95.65,29,50,5.61,scattered clouds
225,Urusha,RU,54.05,122.9,57.9,98,100,3.49,light rain
226,Padang,ID,-0.9492,100.3543,77.05,85,24,3.18,few clouds
227,Turayf,SA,31.6725,38.6637,98.85,26,0,4.61,clear sky
228,Horsham,GB,51.064,-0.3272,68.54,92,40,8.05,heavy intensity shower rain
229,Hamilton,US,39.1834,-84.5333,89.74,72,88,1.99,overcast clouds
230,Piterka,RU,50.6803,47.4454,69.4,45,29,8.79,scattered clouds
231,Nouadhibou,MR,20.931,-17.0347,76.98,73,0,19.57,clear sky
232,Yarada,IN,17.65,83.2667,84.52,89,40,3.44,mist
233,Totness,SR,5.8833,-56.3167,80.35,71,96,13.06,overcast clouds
234,Ilo,PE,-17.6394,-71.3375,64.15,71,65,9.78,broken clouds
235,Douentza,ML,14.9951,-2.9517,97.45,32,58,7.36,broken clouds
236,Provideniya,RU,64.3833,-173.3,46.76,99,100,7.23,moderate rain
237,Saint-Augustin,CA,51.226,-58.6502,77.74,43,71,10.78,broken clouds
238,Sakakah,SA,29.9697,40.2064,108.97,15,1,9.86,clear sky
239,Batie,BF,9.8833,-2.9167,84.47,54,95,4.74,overcast clouds
240,Flinders,AU,-34.5833,150.8552,55.38,62,63,21.0,broken clouds
241,Mahanoro,MG,-19.9,48.8,62.82,93,100,11.14,moderate rain
242,Iskateley,RU,67.6803,53.1512,46.35,74,96,16.58,overcast clouds
243,Cayenne,GF,4.9333,-52.3333,84.09,78,90,1.01,overcast clouds
244,San Cristobal,VE,7.7669,-72.225,71.78,56,100,5.32,overcast clouds
245,Nevel,RU,56.0209,29.9284,71.06,55,10,2.33,clear sky
246,Avera,US,33.194,-82.5271,89.71,52,94,3.4,overcast clouds
247,Nizhniy Odes,RU,63.6445,54.856,52.47,66,87,5.44,overcast clouds
248,Lithakia,GR,37.7167,20.8333,85.59,67,0,12.95,clear sky
249,Hornepayne,CA,49.2138,-84.7705,66.74,63,64,7.38,broken clouds
250,Taseyevo,RU,57.2169,94.8978,67.08,67,3,4.29,clear sky
251,Souillac,MU,-20.5167,57.5167,71.98,56,40,11.5,scattered clouds
252,Mezen,RU,65.8522,44.24,47.34,83,100,8.48,overcast clouds
253,Ribeira Grande,PT,38.5167,-28.7,75.6,73,40,8.05,scattered clouds
254,Cicero Dantas,BR,-10.6,-38.3833,80.94,38,75,12.37,broken clouds
255,Aykhal,RU,66.0,111.5,71.49,56,81,8.39,broken clouds
256,Tyrma,RU,50.0833,132.1667,67.03,96,100,1.03,moderate rain
257,Dikson,RU,73.5069,80.5464,38.89,88,45,13.73,scattered clouds
258,Aleksandrov Gay,RU,50.147,48.5704,74.53,37,46,13.09,scattered clouds
259,Guaraniacu,BR,-25.1008,-52.8781,76.06,37,18,9.01,few clouds
260,Baiyin,CN,36.5583,104.2081,63.48,68,100,12.97,light rain
261,Dicabisagan,PH,17.0818,122.4157,81.46,72,99,3.87,overcast clouds
262,Fortuna,US,40.5982,-124.1573,54.52,100,90,0.0,overcast clouds
263,San Quintin,MX,30.4833,-115.95,68.47,83,100,6.13,overcast clouds
264,College,US,64.8569,-147.8028,61.2,81,90,3.44,overcast clouds
265,Whitehorse,CA,60.7161,-135.0538,55.09,71,40,2.3,scattered clouds
266,Sao Filipe,CV,14.8961,-24.4956,74.35,73,58,7.4,broken clouds
267,Sistranda,NO,63.7256,8.834,58.96,86,64,7.43,broken clouds
268,Dingle,PH,10.9995,122.6711,76.84,91,71,7.56,light rain
269,Olafsvik,IS,64.8945,-23.7142,50.02,86,63,27.56,broken clouds
270,Saskylakh,RU,71.9167,114.0833,53.78,80,48,7.02,scattered clouds
271,Vanimo,PG,-2.6741,141.3028,75.09,81,100,3.11,overcast clouds
272,Samfya,ZM,-11.3649,29.5565,62.31,42,4,12.84,clear sky
273,Quatre Cocos,MU,-20.2078,57.7625,71.71,63,2,15.41,clear sky
274,Gizo,SB,-8.103,156.8419,79.72,80,78,4.25,broken clouds
275,Dinan,FR,48.4167,-2.25,70.81,76,51,11.52,broken clouds
276,Vestmannaeyjar,IS,63.4427,-20.2734,54.59,87,40,27.63,scattered clouds
277,Bengkulu,ID,-3.8004,102.2655,76.19,90,2,4.79,clear sky
278,Torbay,CA,47.6666,-52.7314,62.28,91,90,5.75,overcast clouds
279,Sobolevo,RU,54.4299,31.8996,70.36,58,30,4.21,scattered clouds
280,Mahebourg,MU,-20.4081,57.7,71.89,56,40,11.5,scattered clouds
281,Asau,RO,46.4333,26.4,78.28,52,65,1.9,broken clouds
282,Nara,JP,34.6851,135.8049,80.26,94,8,1.14,clear sky
283,Rocha,UY,-34.4833,-54.3333,72.12,72,79,13.85,broken clouds
284,Bilma,NE,18.6853,12.9164,101.03,25,58,4.03,broken clouds
285,Xixiang,CN,35.1628,112.865,78.13,80,3,3.62,clear sky
286,Lyubytino,RU,58.8122,33.3922,65.93,56,78,2.51,broken clouds
287,Berlevag,NO,70.8578,29.0864,46.2,82,100,19.44,overcast clouds
288,Golfito,CR,8.639,-83.166,77.77,89,87,3.11,overcast clouds
289,Tekeli,KZ,44.83,78.8239,68.04,33,0,7.65,clear sky
290,Anchorage,US,61.2181,-149.9003,58.95,82,75,0.0,broken clouds
291,Namatanai,PG,-3.6667,152.4333,78.64,84,52,3.18,broken clouds
292,Mae Ramat,TH,16.984,98.5166,74.1,99,100,5.41,light rain
293,Ballina,AU,-28.8667,153.5667,48.78,71,1,3.44,clear sky
294,Yawata,JP,34.8701,135.7027,80.82,87,8,1.12,clear sky
295,Nishihara,JP,26.1842,127.7558,79.88,94,75,12.66,broken clouds
296,Kaitangata,NZ,-46.2817,169.8464,48.92,64,100,4.9,light rain
297,Piacabucu,BR,-10.4056,-36.4344,75.81,80,26,11.45,scattered clouds
298,Gra Liyia,GR,35.0167,25.6833,78.98,66,1,15.37,clear sky
299,Broome,US,42.2506,-75.833,84.69,76,80,1.01,broken clouds
300,Srednekolymsk,RU,67.45,153.6833,38.86,78,100,14.05,overcast clouds
301,Arbagar,RU,51.9438,116.2805,57.49,88,98,5.1,light rain
302,Imbituba,BR,-28.24,-48.6703,71.82,51,57,13.49,broken clouds
303,Alice Springs,AU,-23.7,133.8833,54.95,35,81,5.75,broken clouds
304,San Policarpo,PH,12.1791,125.5072,82.27,77,64,10.56,broken clouds
305,Laukaa,RU,58.7372,29.8453,69.46,58,89,3.8,overcast clouds
306,Beringovskiy,RU,63.05,179.3167,51.69,90,98,2.48,overcast clouds
307,Geraldton,AU,-28.7667,114.6,48.61,93,75,10.36,broken clouds
308,Puerto Suarez,BO,-18.95,-57.8,95.56,29,0,12.66,clear sky
309,Jinchang,CN,38.4953,102.1739,75.34,35,89,8.68,overcast clouds
310,Bethanien,NA,-26.502,17.1583,62.74,22,31,13.53,scattered clouds
311,Pevek,RU,69.7008,170.3133,34.74,91,100,9.82,overcast clouds
312,Lagoa,PT,39.05,-27.9833,69.37,82,100,12.77,overcast clouds
313,Oranjemund,NA,-28.55,16.4333,66.18,30,100,5.35,overcast clouds
314,Tieli,CN,46.95,128.05,69.33,98,100,4.85,heavy intensity rain
315,Port Lincoln,AU,-34.7333,135.8667,55.15,86,29,16.91,scattered clouds
316,Idaho Falls,US,43.4666,-112.0341,81.63,11,0,7.05,clear sky
317,Bull Savanna,JM,17.8868,-77.5902,84.79,61,27,9.33,scattered clouds
318,Deputatskiy,RU,69.3,139.9,41.83,85,10,3.53,clear sky
319,Georgetown,MY,5.4112,100.3354,85.95,78,20,2.3,few clouds
320,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,83,75,12.48,broken clouds
321,Mucuri,BR,-18.0864,-39.5508,74.21,66,72,12.01,broken clouds
322,Requena,ES,39.4883,-1.1004,76.78,23,25,5.61,scattered clouds
323,Iraquara,BR,-12.2486,-41.6194,79.48,37,68,9.55,broken clouds
324,Tromso,NO,69.6496,18.957,56.05,93,75,1.01,drizzle
325,Yulara,AU,-25.2406,130.9889,51.64,46,81,5.75,broken clouds
326,Luderitz,NA,-26.6481,15.1594,67.23,26,70,5.01,broken clouds
327,Iqaluit,CA,63.7506,-68.5145,44.33,93,75,5.01,mist
328,Quelimane,MZ,-17.8786,36.8883,73.35,60,40,6.91,scattered clouds
329,Kaeo,NZ,-35.1,173.7833,59.32,96,98,5.73,overcast clouds
330,Sept-Iles,CA,50.2001,-66.3821,68.52,80,75,11.99,broken clouds
331,Broken Hill,AU,-31.95,141.4333,49.71,71,54,11.5,broken clouds
332,Talnakh,RU,69.4865,88.3972,55.81,93,100,5.91,overcast clouds
333,Sao Felix Do Xingu,BR,-6.6447,-51.995,96.6,22,89,3.96,overcast clouds
334,Vakhrushev,RU,48.9833,142.9667,67.93,91,71,9.24,broken clouds
335,Tagusao,PH,9.1924,117.8141,81.66,77,100,8.86,overcast clouds
336,Cururupu,BR,-1.8283,-44.8683,85.03,60,82,5.26,broken clouds
337,Corner Brook,CA,48.9667,-57.9484,69.96,52,10,4.0,clear sky
338,Sesheke,ZM,-17.4759,24.2968,62.64,33,1,8.81,clear sky
339,Outjo,NA,-20.1167,16.15,65.16,29,0,8.59,clear sky
340,Davidson,US,36.1501,-86.7833,93.96,60,75,1.99,broken clouds
341,Russell,US,32.3502,-85.1999,90.37,69,77,2.84,broken clouds
342,Dongsheng,CN,39.8161,109.9776,70.38,78,74,16.49,broken clouds
343,Tuatapere,NZ,-46.1333,167.6833,48.81,89,100,4.92,light rain
344,Sungaipenuh,ID,-2.0833,101.3833,64.92,97,42,3.71,scattered clouds
345,Manyana,BW,-23.4,21.7167,52.81,38,0,8.97,clear sky
346,Maracacume,BR,-2.0428,-45.9592,87.13,54,63,4.27,broken clouds
347,Kralendijk,BQ,12.15,-68.2667,81.05,86,100,16.11,overcast clouds
348,Muros,ES,42.7762,-9.0603,79.68,66,52,12.39,broken clouds
349,Faanui,PF,-16.4833,-151.75,77.76,66,3,13.47,clear sky
350,Myre,NO,69.1036,15.9492,59.41,91,100,12.37,overcast clouds
